what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296737798352
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296737835644
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1296737835660
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296737842531
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296737879691
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296737883980
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296737888285
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1296737888301
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296737889263
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296737896805
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296737899106
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296737902011
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1296737902027
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1296737902027
error,log,,,"Unable to get nature of project '128ci'.",1296737902307
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296737902531
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296737906862
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296737910620
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296737936064
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1296737936079
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296737952548
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296737981174
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296737989079
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296738022165
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296738023784
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296738024999
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296738025135
stopped,bundle,org.eclipse.mylyn.ide.ant,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.ide.ant",1296738025638
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,"org.eclipse.jst.j2ee.xdoclet.runtime",1296738025640
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1296738025642
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.0.v200906020553,"org.eclipse.datatools.connectivity.oda.template.ui",1296738025644
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1296738025648
stopped,bundle,org.eclipse.pde.ds.ui,1.0.0.v20100209-maintenance,"org.eclipse.pde.ds.ui",1296738025650
stopped,bundle,org.eclipse.pde.runtime,3.4.100.v20090731,"org.eclipse.pde.runtime",1296738025653
stopped,bundle,org.eclipse.pde.ua.ui,1.0.0.v20090511,"org.eclipse.pde.ua.ui",1296738025655
stopped,bundle,org.eclipse.datatools.connectivity.ui.templates,1.0.0.v200906020553,"org.eclipse.datatools.connectivity.ui.templates",1296738025659
stopped,bundle,org.eclipse.datatools.sdk,1.7.0.v200906161850,"org.eclipse.datatools.sdk",1296738025659
stopped,bundle,org.eclipse.pde.ui.templates,3.4.100.v20090527,"org.eclipse.pde.ui.templates",1296738025661
stopped,bundle,org.eclipse.tptp.platform.profile.server.wst,4.3.301.v201002100300,"org.eclipse.tptp.platform.profile.server.wst",1296738025664
stopped,bundle,org.eclipse.tptp.platform.profile.server.core,4.2.200.v201002100300,"org.eclipse.tptp.platform.profile.server.core",1296738025666
stopped,bundle,org.eclipse.tptp.platform.jvmti.client,4.4.301.v201001282132,"org.eclipse.tptp.platform.jvmti.client",1296738025668
stopped,bundle,org.eclipse.tptp.platform.integration.pde,4.4.200.v200906191311,"org.eclipse.tptp.platform.integration.pde",1296738025670
stopped,bundle,org.eclipse.birt.report.debug.ui,2.5.2.v20100127,"org.eclipse.birt.report.debug.ui",1296738025670
stopped,bundle,org.eclipse.birt.chart.reportitem.ui,2.5.2.v20100210,"org.eclipse.birt.chart.reportitem.ui",1296738025672
stopped,bundle,org.eclipse.birt.report.item.crosstab.ui,2.5.2.v20100127,"org.eclipse.birt.report.item.crosstab.ui",1296738025675
stopped,bundle,org.eclipse.birt.report.designer.ui.ide,2.5.2.v20100127,"org.eclipse.birt.report.designer.ui.ide",1296738025677
stopped,bundle,com.instantiations.designer.core.databinding,7.4.0.r35x201005141306,"com.instantiations.designer.core.databinding",1296738025680
stopped,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1296738025680
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1296738025685
